pdbid lenght accep_rate distr_time ensemble_time
16pk 415 97.0873786407767% 80.396 1650.354
1a62 130 99.00990099009901% 57.277 551.394
1ab1 46 99.00990099009901% 53.850 322.496
1ah7 245 98.0392156862745% 140.879 2565.549
1ail 73 99.00990099009901% 65.566 455.759
1aol 228 100.0% 66.648 1016.234
1b25 619 99.00990099009901% 136.531 2718.681
1b2s 90 100.0% 48.494 412.140
1b2s 90 100.0% 52.505 442.1
1b8d 164 100.0% 64.247 691.813
1bgf 124 100.0% 47.318 539.132
1bkp 278 100.0% 65.786 1132.386
1bq8 54 98.0392156862745% 48.118 330.698
1btk 169 100.0% 58.52 777.81
1bx7 55 100.0% 62.531 389.275
1bxy 60 100.0% 41.785 335.879
1by2 119 100.0% 62.400 554.652
1c1k 217 98.0392156862745% 61.962 923.259
1c52 131 100.0% 115.61 965.693
1c96 753 100.0% 188.274 3968.708
1chd 203 100.0% 89.531 1035.720
1coj 212 100.0% 52.90 805.335
1cpq 129 100.0% 94.156 757.518
1ctf 74 100.0% 49.698 368.166
1cuo 129 100.0% 85.24 791.532
1d2t 231 100.0% 57.987 816.86
1d3y 301 99.00990099009901% 66.375 1200.141
1d4t 104 99.00990099009901% 45.248 486.778
1dci 275 99.00990099009901% 69.522 1074.352
1dd3 128 100.0% 48.52 497.316
1dfu 94 100.0% 54.132 446.592
1dj0 264 100.0% 73.220 1238.341
1dk8 147 100.0% 57.817 619.727
1dlj 402 100.0% 79.867 1443.618
1doi 128 97.0873786407767% 134.342 1232.359
1dow 205 97.0873786407767% 58.326 776.574
1dpt 117 100.0% 57.365 501.690
1dtd 61 100.0% 47.49 366.205
1dvo 152 100.0% 45.586 589.525
1dwk 156 100.0% 50.349 591.240
1dzf 215 99.00990099009901% 57.476 850.47
1ear 147 100.0% 57.118 659.152
1ef1 90 99.00990099009901% 52.614 451.251
1egw 77 100.0% 48.448 413.272
1esw 500 99.00990099009901% 112.416 2713.327
1ewf 456 100.0% 82.401 1846.677
1ez3 127 100.0% 54.426 544.643
1f20 435 100.0% 85.64 1840.318
1f3u 118 100.0% 52.12 479.779
1f5n 592 100.0% 193.672 5308.909
1f9p 85 100.0% 49.781 417.314
1fcz 235 100.0% 92.675 1284.321
1fd3 41 95.23809523809523% 44.754 297.730
1feh 574 98.0392156862745% 120.313 2318.711
1fk5 93 100.0% 49.80 395.98
1fm4 159 100.0% 52.142 633.39
1fn9 365 99.00990099009901% 76.849 1663.124
1fs1 53 96.15384615384616% 46.286 336.942
1fx4 231 99.00990099009901% 58.408 835.239
1fxo 293 100.0% 71.2 1115.559
1g2r 100 100.0% 54.294 491.726
1g38 393 100.0% 82.942 1791.965
1g6g 127 100.0% 51.785 520.898
1g7s 594 99.00990099009901% 149.572 3349.26
1g9g 629 100.0% 137.952 3019.427
1gnt 553 100.0% 122.706 2027.343
1gpj 404 97.0873786407767% 128.169 2351.943
1gqe 365 99.00990099009901% 72.602 1527.863
1gqv 135 100.0% 52.243 608.645
1gte 1025 100.0% 344.715 5343.418
1gwe 503 98.0392156862745% 100.328 2621.235
1h02 70 100.0% 144.212 891.246
1h16 759 99.00990099009901% 193.852 3713.596
1h2e 207 100.0% 56.830 850.876
1h8e 272 100.0% 56.908 943.985
1h99 224 99.00990099009901% 82.652 1434.203
1hbn 442 100.0% 88.760 1392.551
1hc9 74 100.0% 48.836 384.634
1hp1 516 100.0% 96.956 1994.867
1hq0 295 100.0% 63.259 973.217
1huf 140 100.0% 48.897 614.882
1hw1 239 100.0% 77.220 1225.298
1hye 313 100.0% 67.456 1091.907
1i2t 61 100.0% 46.319 337.224
1i4m 108 99.00990099009901% 47.486 487.907
